id,description
lCHOK0yNjCc,"Juan Luis Mejía ha sido rector de Eafit, ministro de cultura, y consul en Sevilla. 

00:00 intro 
01:08 La actitud desafiante de Escobar  
04:16 Entender a la sociedad española que vino a América  
10:28 La fiebre del oro  
12:25 La burbuja tras negociar con Londres  
20:29 El inicio de la asociatividad  
26:04 El proceso de industrialización en Antioquia  
30:39 Los años 90 en Medellín  
37:09 La migración del campo y el origen del sic4riato  
43:24 ¿Qué pasó con los padres de los sic4rios?  
45:12 La mentalidad del dinero  
47:09 Yo era un “vago ilustrado”  
51:57 La piratería terrestre en Colombia  
55:21 Hacerse lector  
59:55 Tener discusiones sobre el país  
01:07:29 El gobierno de Belisario Betancur  
01:13:45 El día del Palacio de Justicia  
01:20:03 El cuadro de bisontes y Carlos E Restrepo  

Recibe mi newsletter: 
https://acevedoandres.com/newsletter/

Apoyar Atemporal en Patreon: https://www.patreon.com/Atemporalpodcast

En Youtube: https://www.youtube.com/channel/UCMTssINr-9gsPwk1iuAEdxQ/join"
v0UOsdpnTiA,"Alfonso Gómez Méndez ha sido ministro de justicia, procurador y fiscal general. Es autor del libro Democracia bloqueada. 

SOMOS INTERNET 3 MESES 50% OFF https://www.somosinternet.co/atemporal

Cronica Nydia Quintero de Turbay y Garcia Marquez 
https://cambiocolombia.com/pais/el-dia-mas-triste-en-la-vida-de-gabriel-garcia-marquez

La estirpe calvinista de nuestras instituciones - Alfonso Lopez Michelsen

Los elegidos - Alfonso Lopez Michelsen

Mi gente - Alberto Lleras Camargo

Crónica de dos décadas de política colombiana - Daniel Pecaut

Noticia de un secuestro - Gabriel Garcia Marquez 

Capítulos:

00:00 intro 
01:11 ¿Por qué García Márquez vuelve a Colombia?
19:20 López Michelsen y su fijación por el calvinismo
27:11 La trayectoria de López
30:28 El origen del MRL
37:22 Carlos Lleras quería pegarle un tiro a Nacho Vives
40:16 La carta a López
42:22 Las razones de no ser un gobierno de derecha
53:02 La visión de López al ser presidente
58:33 La bonanza marimbera
01:00:35 El Chaparral: lugar de origen de grandes personajes
01:10:24 ¿Por qué la universidad del Extrenado?
01:21:04 Llegar a ser procurador
01:37:29 Lo dramático de la extradición
01:41:46 ¿Barco cambió al país?
01:45:32 Los tres tipos de impunidad en el país
01:47:29 ¿Vale la pena aplicar la ley en Colombia?
Recibe mi newsletter: 
https://acevedoandres.com/newsletter/

Apoyar Atemporal en Patreon: https://www.patreon.com/Atemporalpodcast

En Youtube: https://www.youtube.com/channel/UCMTssINr-9gsPwk1iuAEdxQ/join"
go6PLP91MwY,"Sara Ordoñez fue superintendente bancaria durante la crisis del año 98. Ha sido ministra de comunicaciones (1976) y ministra de salud (2000). 

CODIGO de DESCUENTO ATEMPORAL para el Latam Fintech Market: https://www.latamfintech.market/

Libros mencionados:
Álvaro - Juan Esteban Constaín 

Decidí contarlo - Guillermo Perry 

Capítulos: 
00:00 intro
01:28 Colombia en los 2000 vs en los años 70s
13:31 Los retos de ser ministra
20:46 ¿Cuánto ha cambiado Colombia?
22:53 El trabajo según la época
28:33 El paro del 77
45:32 La visión de López
52:21 Dominos de la crisis de fin de siglo
01:04:30 El sistema financiero es un edifico y los ladrillos son los bancos
01:23:05 La contribución del 2 x mil
01:29:44 El bajo costo en el manejo de la crisis
01:32:56 ¿Por qué a otros les salió más costoso recuperarse de esa crisis?
01:36:28 ¿Pastrana tenía poco que perder?
01:39:02 El pleito de Gran Ahorrar
01:49:47 Intervenir entidades
01:55:05 Prevenir es mejor que curar

Recibe mi newsletter: 
https://acevedoandres.com/newsletter/

Apoyar Atemporal en Patreon: https://www.patreon.com/Atemporalpodcast

En Youtube: https://www.youtube.com/channel/UCMTssINr-9gsPwk1iuAEdxQ/join"
H_hS9UeuaW4,"Juan Carlos Esguerra es abogado. Ha sido constituyente, ministro de defensa, ministro de justicia y embajador en Washington. 

Libros mencionados:

Contra todas las apuestas - Humberto De La Calle

Alvaro - Juan Esteban Constain

Capítulos:

00:00 intro
06:23 Arrancar en el consejo de estado
09:14 Los jueces de la época
14:08 Estar en el gobierno López en la emergencia económica
18:40 Pasar de la vida pública a la vida privada
19:57 La muert3 de los magistrados
27:36 La circunstancias para llegar a la asamblea constituyente /
32:40 ¿Por qué la reforma a la constitución era necesaria?
41:18 Me tocó hacer campaña política
45:34 El panorama de la asamblea constituyente
54:34 Debíamos sacar la constituyente en 5 meses
57:29 La carta que me envió Pablo Escobar
01:01:59 Votar a favor de la extradición
01:09:18 El encargo como ministro de defensa
01:28:03 Dudar sobre si se tomarían el país
01:31:33 Los avances antes del Plan Colombia
01:34:59 ¿El presidente Samper sabía?
01:36:57 Mi relación con Álvaro Gómez
01:45:51 ¿Me arrolló la política?
01:52:17 ¿Por qué el país no es inviable a pesar de las derrotas?
01:55:08 Actuar con grandeza

Recibe mi newsletter: 
https://acevedoandres.com/newsletter/

Apoyar Atemporal en Patreon: https://www.patreon.com/Atemporalpodcast

En Youtube: https://www.youtube.com/channel/UCMTssINr-9gsPwk1iuAEdxQ/join"
z25ANG83TxA,"Alejandra Botero Barco es economista, ex Mckinsey, y ha sido directora del Departamento Nacional de Planeación.

SOMOS INTERNET 3 MESES 50% OFF https://www.somosinternet.co/atemporal

Pida su asesoría GRATIS con SYMPLIFICA: https://symplifica.com

Libros:
Barco - Malcolm Deas

El llamado del jaguar - Martin Von Hilderbrand

Capítulos:

00:00 Intro 
01:22 Querer emprender en Venezuela
19:41 Mi identidad ¿Colombiana o venezolana?
21:50 La unidad de entrega
25:17 La explicación de un catastro multipropósito
43:01 La inercia para el cambio catastral
48:50 La frustración de chocarse con la política
53:18 Garantizar la ejecución
58:34 Volver a Colombia a estar en el gobierno
01:07:01 La idea sobre Colombia
01:11:05 Lo que me dejó el DNP
01:16:12 El porcentaje de días buenos en el gobierno
01:28:30 Pablo Escobar intentó mat4rme
01:26:23 Tener conciencia sobre Pablo Escobar
01:31:49 La imagen de su abuelo


Recibe mi newsletter: 
https://acevedoandres.com/newsletter/

Apoyar Atemporal en Patreon: https://www.patreon.com/Atemporalpodcast

En Youtube: https://www.youtube.com/channel/UCMTssINr-9gsPwk1iuAEdxQ/join"
c4-DIbtNg54,"Alejandro Salazar es consultor de estrategia empresarial, autor de La estrategia emergente y del recién publicado Colombia Ganadora. 

15% de descuento en COLOMBIA GANADORA con el código ATEMPORAL https://buy.stripe.com/4gMdR90YGdt84gUa4Lgfu05

CODIGO de DESCUENTO ATEMPORAL para el Latam Fintech Market: https://www.latamfintech.market/

Libros mencionados:

Delirio Americano - Carlos Granés (https://amzn.to/3UReJPP)
 
Una economista adelantada a su época - Maria Mercedes Cuellar 

Entrevista al presidente Cesar Gaviria (https://youtu.be/r2qpd0TXIa8)

Podcast Alejandro Gaviria https://open.spotify.com/episode/1l53MRv8r0Ger06LqzsJhZ?si=5a9f5fc75f7749c6

Bowling alone - Robert Putnam (https://amzn.to/4g2NwDr)

Decidí contarlo - Guillermo Perry 

Capítulos: 
00:00 intro 
01:22 Los cambios de ciclo institucional y tecnológico
19:10 La crisis del cambio de era
24:42 El problema demográfico de China
31:35 “Colombia va a ser el país norteamericano más al sur”
39:48 La estrategia emergente para Colombia: la identidad
50:27 ¿Por qué hay que estar integrado al mundo?
52:57 ¿Dónde jugar y cómo ganar?
55:11 El narcotr4fico y la violencia en el futuro del país
01:02:52 “Colombia es una tierra de supermercados y tiendas”
01:07:45 La ventaja competitiva y selectiva
01:11:58 Programación, inglés, autopistas
01:19:06 ¿En qué deberíamos prepararnos?
01:26:36 Le buscamos problemas a las soluciones
01:28:59 Corregir el mal de la identidad
01:31:38 El ciudadano crucial
01:41:52 ¿Cómo vamos a construir un país en el que nos queramos quedar?
01:48:05 Para hacer diferente hay que organizarse diferente
01:56:01 Estamos muy cerca del punto de no retorno
02:00:35 Las grandes fuerzas históricas
02:04:01 Los tipos de capital
02:10:10 Medir el desempeño del presidente
02:14:40 Sobrevalorados e infravalorados
02:23:02 El libro Colombia Ganadora

Recibe mi newsletter: 
https://acevedoandres.com/newsletter/

Apoyar Atemporal en Patreon: https://www.patreon.com/Atemporalpodcast

En Youtube: https://www.youtube.com/channel/UCMTssINr-9gsPwk1iuAEdxQ/join"
mPUr6EbZYio,"Armando Montenegro fue director de Planeación Nacional durante la apertura del gobierno Gaviria. Dirige el grupo de discusión de políticas públicas https://www.youtube.com/@politicaspublicascol

Transcripción completa: https://news.acevedoandres.com/p/ep173-armando-montenegro

Libros mencionados:

Pionero: Rodrigo Botero 

Ensayos sobre comercio exterior y desarrollo económico - Jorge Garcia Garcia 

Decidí contarlo - Guillermo Perry (https://amzn.to/3S8XIPx)

Las piezas del rompecabezas - Armando Montenegro y Rafael Rivas 

Grupo políticas públicas en youtube: https://www.youtube.com/@politicaspublicascol

Capítulos:
00:00 intro
1:00 Mi trayectoria en la economía
14:28 El origen de la tecnocracia colombiana
22:07 Los argumentos a favor de abrir la economía
30:52 ¿Por qué es importante para un país tener dólares?
34:56 ¿A quién se le debe plata con la deuda externa?
38:39 La crisis de los 80 y la apertura
42:22 Ser el director del DNP
50:50 ¿Qué era abrir la economía?
56:56 La narrativa “neoliberal”
01:01:21 Una apertura súbita vs gradual
01:17:06 El retroceso económico de la estatización
01:29:10 Mi sistema para estudiar un tema
01:32:29 Los próximos 30 años
01:39:03 Construir un país


Recibe mi newsletter: 
https://acevedoandres.com/newsletter/

Apoyar Atemporal en Patreon: https://www.patreon.com/Atemporalpodcast

En Youtube: https://www.youtube.com/channel/UCMTssINr-9gsPwk1iuAEdxQ/join"
ngUeXw4wt_M,"Jorge Espinosa es editor general de Caracol Radio y creador del podcast En altavoz (https://open.spotify.com/show/0H4hFcXNdL0yaggmvUZTBC?si=510515e96e524b23)

Libros mencionados:
Cisnes salvajes - Jung Chang 

Volver la vista atrás - Juan Gabriel Vásquez 

El tiempo por cárcel - Roberto Pombo y Juan Esteban Constain 

Slaughterhouse Five - Kurt Vonnegut (https://amzn.to/4aw6JL2)

Película: Sin novedad en el frente 

Road to Wigan Pier - George Orwell (https://amzn.to/3Cp3cBt)

Entrevista Fernando Londoño a Hernán Echavarría (https://youtu.be/nvGCumCKESg)

The Brooklyn Follies - Paul Auster (https://amzn.to/3PNwYTJ)

Cartas de ceniza - Javier Osuna 

El alcibiades - Platon 

Stalin: Paradoxes of Power - Stephen Kotkin (https://amzn.to/4hwqQed)

Jóvenes héroes de la Unión Soviética - Alex Halberstadt 

La llamada - Leila Guerriero 

Película: La noche de los lápices

Un verdor terrible - Benjamin Labatut 

 Podcast El librero: https://open.spotify.com/show/1714BZjMWffIPZS2Ld4IMp?si=04325a3eb65d40e2

Capítulos 
00:00 intro
01:20 “Quería hacer mi tesis sobre las artes marciales”
05:05 ¿Qué pensar sobre China?
10:55 El revisionismo histórico
19:05 Pensar en la estabilidad de un país
19:18 Realidades inverosímiles
35:46 Llegar a un absoluto divorcio de las dos realidades
48:15 La imagen sobre los periodistas
53:34 La actitud confrontacional de los medios
1:02:15 Los estilos en las mesas de trabajo
1:04:33 El estado de ánimo crispado
1:07:54 Los aprendizajes sobre Colombia
1:16:18 Sobre libros
1:33:20 El podcast El Librero

Recibe mi newsletter: 
https://acevedoandres.com/newsletter/

Apoyar Atemporal en Patreon: https://www.patreon.com/Atemporalpodcast

En Youtube: https://www.youtube.com/channel/UCMTssINr-9gsPwk1iuAEdxQ/join"
SlUryhAHQFI,"Simón Posada es periodista y autor de La tierra de los tesoros tristes.
SOMOS INTERNET 50% OFF : https://www.somosinternet.co/atemporal
Libros mencionados: Frank Sinatra está resfriado - Gay Talese (https://letraslibres.com/revista-espana/sinatra-esta-resfriado/)
Bartebly y yo retratos de Nueva York - Gay Talese (https://amzn.to/43Bzogq)
La invención de la naturaleza - Andrea Wulf (https://amzn.to/4cgd6TE)
El ladrón de orquideas - Susan Orlean (https://amzn.to/445YqUU)
Mark Kurlansky - Cod (https://amzn.to/42rWHbh)
The Prize - Daniel Yergin (https://amzn.to/423sj5y)
El secreto de Joe Gould - Joseph Mitchel (https://amzn.to/3EbLUso)
Hiroshima - John Hersey (https://amzn.to/4ckT62k)
Caracas sin agua - Garcia Marquez 
El hombre que cae - Esquire (https://www.esquire.com/news-politics/a48031/the-falling-man-tom-junod/)
Capítulos:
00:00 intro 
01:10 Trabajar en editoriales
06:55 La psicología para vender libros
20:04 Entender a la audiencia y generar tráfico
26:19 Lo que la gente necesita vs lo que les gusta
37:30 ¿Cómo llegó a ser aficionado por la pesca?
47:10 La construcción del libro
53:16 ¿Quién fue Coriolano Amador?
56:41 La sala de El Museo del Oro
01:05:50 Encontrar temas universales a partir de detalles
01:10:30 Minería ileg4l y narcotr4fico
01:15:13 El descubrimiento no buscado de la coc4ína
01:16:21 La idea sobre Colombia después de escribir el libro
01:24:08 La identidad colombiana
01:27:59 Sobre escribir

Recibe mi newsletter: 
https://acevedoandres.com/newsletter/

Apoyar Atemporal en Patreon: https://www.patreon.com/Atemporalpodcast

En Youtube: https://www.youtube.com/channel/UCMTssINr-9gsPwk1iuAEdxQ/join"
3eL3wDthCFs,"Juan Camilo Restrepo ha sido ministro en tres ocasiones y ha tenido que lidiar con el apagón (gob. Gaviria) y la crisis de final de siglo (gob. Pastrana). 

Transcripción completa: https://news.acevedoandres.com/p/ep168-juan-camilo-restrepo

Libros mencionados:

Cuatro crisis que marcaron a Colombia - Juan Camilo Restrepo

La historia completa del GEA - Gloria Valencia 

Belisario Betancur Sin Límites - Carlos Caballero y Diego Pizano 

Capítulos:
00:00 intro
01:05 El mundo de Jaime Michelsen
06:46 ¿qué eran los auto préstamos?
10:00 La práctica para adquirir acciones 
14:30 ¿Qué tan poderoso era Jaime Michelsen?
17:20 La figura de Belisario Betancur como presidente 
23:23 Legislar durante el proceso 8000
26:26 ¿Fue positivo que Samper no se cayera?
27:24 Nuestro gran problema 
28:53 La visión de país desde el congreso
33:23 Lanzarse a la presidencia
39:43 Las crisis financieras 
53:24 ¿Cómo hacer que nos “paren bolas”?  
57:15 ¿Qué hicieron los otros países diferente?  
01:01:43 Las quiebras a raíz de las crisis  
01:06:57 Las tasas de interés que motivaban a los inversionistas extranjeros  
01:10:03 Los aprendizajes sobre el manejo de las crisis  
01:14:53 El Banco de la República ante la crisis  
01:20:10 Los “ascendistas públicos” vs tecnócratas  
01:22:14 ¿Qué ha pasado con el partido conservador?  
01:25:38 Pensar en el largo plazo  


Recibe mi newsletter: 
https://acevedoandres.com/newsletter/

Apoyar Atemporal en Patreon: https://www.patreon.com/Atemporalpodcast

En Youtube: https://www.youtube.com/channel/UCMTssINr-9gsPwk1iuAEdxQ/join"
